,links2,brand_names,product_names,p_id,ratings,price,total_shades,total_reviews,loves,shades_names,img,hot_shade
229,https://www.sephora.com/product/kiss-pop-lip-color-stick-P387037?icid2=products%20grid:p387037:product,MARC JACOBS BEAUTY,Kiss Pop Lipstick,P387037,3.5 stars,$28.00,9,254,19450,"['Pow 600 peony pink', 'Heartbreaker 602 pink coral', 'Wham 604 coral rose', 'Pop Arazzi 606 electric rose', 'Crush 610 tangerine red', 'Pop Rock 614 strawberry red', 'Pop 612 bright berry red', 'Headliner 608 berry sangria', 'Smack 616 burgundy berry']",https://www.sephora.com/productimages/sku/s1613116-main-Lhero.jpg,"['Heartbreaker 602 pink coral', 'Headliner 608 berry sangria', 'Pop 612 bright berry red']"
230,https://www.sephora.com/product/statement-luxe-shine-lipstick-P19453367?icid2=products%20grid:p19453367:product,BAREMINERALS,Statement™ Luxe Shine Lipstick,P19453367,4 stars,$20.00,9,27,4989,"['Tease peachy pink with gold pearl', 'Biba bubblegum pink', 'Rebound medium neutral pink', 'Alpha bright raspberry', 'Flash warm coral red', 'Hustler rich garnet with red pearl', 'Srsly Red true bright red', 'Frenchie vibrant magenta berry', 'Elite rose berry with gold pearl']",https://www.sephora.com/productimages/sku/s1945336-main-Lhero.jpg,"['Hustler rich garnet with red pearl', 'Elite rose berry with gold pearl', 'Srsly Red true bright red']"
231,https://www.sephora.com/product/metallic-mini-liquid-lipstick-set-P436413?icid2=products%20grid:p436413:product,ANASTASIA BEVERLY HILLS,Metallic Mini Liquid Lipstick Set,P436413,3.5 stars,$25.00,0,54,9637,[],https://www.sephora.com/productimages/sku/s2144285-main-Lhero.jpg, N/A 
232,https://www.sephora.com/product/rouge-interdit-satin-lipstick-valentine-s-edition-P440024?icid2=products%20grid:p440024:product,GIVENCHY,Rouge Interdit Satin Lipstick - Love Collection,P440024,3 stars,$34.00,2,2,1444,"['13 Rouge Interdit true red', '22 Infarose fuchsia']",https://www.sephora.com/productimages/sku/s2185460-main-Lhero.jpg,['13 Rouge Interdit true red']
233,https://www.sephora.com/product/studded-kiss-cr-me-duo-vampira-ombre-P442595?icid2=products%20grid:p442595:product,KAT VON D,Kitten Mini Studded Kiss Creme Duo Vampira Ombre,P442595,4 stars,$18.00,0,5,1402,[],https://www.sephora.com/productimages/sku/s2192201-main-Lhero.jpg, N/A 
234,https://www.sephora.com/product/city-lights-party-nights-P422921?icid2=products%20grid:p422921:product,BENEFIT COSMETICS,"City Lights, Party Nights Set",P422921,4.5 stars,$32.00,0,32,10794,[],https://www.sephora.com/productimages/sku/s1996412-main-Lhero.jpg, N/A 
235,https://www.sephora.com/product/be-legendary-liquid-pigment-P416413?icid2=products%20grid:p416413:product,SMASHBOX,Be Legendary Liquid Lip,P416413,4 stars,$24.00,10,710,55565,"['Petal Metal metallic rose gold', 'Mauve Squad metallic mauve', 'Haterade metallic orange', ""Brains 'N' Bronze metallic bronze"", 'Crimson Chrome metallic true red', 'Iced Out metallic royal blue', 'Foil Slick dark metallic with multichrome pearl', 'Barely Regal metallic purple', 'Boys & Berry metallic deep fuchsia', ""That's Rich metallic golden bronze""]",https://www.sephora.com/productimages/sku/s1899533-main-Lhero.jpg,"['Foil Slick dark metallic with multichrome pearl', 'Mauve Squad metallic mauve', 'Petal Metal metallic rose gold']"
236,https://www.sephora.com/product/audacious-lipstick-keepsake-set-P426840?icid2=products%20grid:p426840:product,NARS,Audacious Lipstick Keepsake Set,P426840,5 stars,$79.00,1,3,2060,[''],https://www.sephora.com/productimages/sku/s2025310-main-Lhero.jpg, N/A 
237,https://www.sephora.com/product/tarteist-lip-wardrobe-volume-ii-P418312?icid2=products%20grid:p418312:product,TARTE,Tarteist™ Lip Wardrobe Volume II,P418312,4 stars,$12.00,1,103,31698,[''],https://www.sephora.com/productimages/sku/s1934736-main-Lhero.jpg, N/A 
238,https://www.sephora.com/product/lip-lacquer-extreme-P433001?icid2=products%20grid:p433001:product,TOM FORD,Lip Lacquer Extrême,P433001,3 stars,$54.00,8,6,2049,"['Loveless', 'Loveshock', 'Panty Pink', 'Skin Tight', 'Cameo', 'Torch', 'Slicker', 'Hot Rod']",https://www.sephora.com/productimages/sku/s2110633-main-Lhero.jpg, N/A 
